id;name;cia;date;time;type;synopsis;location;hasLibras;image;;;;;;;;;;;;;;;;;
12;Espetáculo de Luzes;;2025-12-07;19:00;espetaculodeluzes;"Diariamente a Rua de Natal ganha vida com vida com o Espetáculo de Luzes. A experiência imersiva e emocionante, transforma a rua em um cenário iluminado e repleto de encanto. 
Em 2025 quem conta essa história são as Guardiãs do Natal.  Elas convidam o público a embarcar nessa aventura até o grande momento do acendimento da Rua de Natal.";Rua Leopoldina de Camargo, 260;true;espetáculo de luzes.jpg;;;;;;;;;;;;;;;;;
13;Chegada do Papai Noel;;2025-12-07;19:00;papainoel;A Chegada do Papai Noel é o ponto alto das noites da Rua de Natal de Itapevi, e acontece logo após o Espetáculo de Luzes. O bom velhinho surge em meio ao brilho das luzes e à música, saudando o público. Após sua chegada, é oficialmente aberta a Vila do Natal — um espaço especialmente preparado para receber as crianças que desejam tirar fotos, entregar suas cartinhas e viver de perto a magia do Natal.;Rua Leopoldina de Camargo, 260;true;chegada do papai noel.jpg;;;;;;;;;;;;;;;;;
14;Mostra da Escola Livre de Dança de Itapevi;;2025-12-07;19:30;danca;A Mostra da Escola Livre de Dança de Itapevi reúne os alunos da Secretaria de Cultura de cidade em uma apresentação especial de fim de ano, criada para celebrar o aprendizado, a dedicação e a evolução artística de cada turma.;Rua Leopoldina de Camargo, 260;true;Mostra da Escola Livre.jpg;;;;;;;;;;;;;;;;;
15;Kivia Pascoal;;2025-12-07;21:00;musica;Com sua força vocal e acompanhada de sua banda, Kívia apresenta um show vibrante, trazendo grandes sucessos da música sertaneja contemporânea e canções do seu repertorio autoral.;Rua Leopoldina de Camargo, 260;true;Ensaio 1 - Kivia Pascoal.jpg;;;;;;;;;;;;;;;;;
16;Espetáculo de Luzes;;2025-12-08;19:00;espetaculodeluzes;"Diariamente a Rua de Natal ganha vida com vida com o Espetáculo de Luzes. A experiência imersiva e emocionante, transforma a rua em um cenário iluminado e repleto de encanto. 
Em 2025 quem conta essa história são as Guardiãs do Natal.  Elas convidam o público a embarcar nessa aventura até o grande momento do acendimento da Rua de Natal.";Rua Leopoldina de Camargo, 260;true;espetáculo de luzes.jpg;;;;;;;;;;;;;;;;;
17;Espetáculo de Luzes;;2025-12-09;19:00;espetaculodeluzes;"Diariamente a Rua de Natal ganha vida com vida com o Espetáculo de Luzes. A experiência imersiva e emocionante, transforma a rua em um cenário iluminado e repleto de encanto. 
Em 2025 quem conta essa história são as Guardiãs do Natal.  Elas convidam o público a embarcar nessa aventura até o grande momento do acendimento da Rua de Natal.";Rua Leopoldina de Camargo, 260;true;espetáculo de luzes.jpg;;;;;;;;;;;;;;;;;
18;Espetáculo de Luzes;;2025-12-10;19:00;espetaculodeluzes;"Diariamente a Rua de Natal ganha vida com vida com o Espetáculo de Luzes. A experiência imersiva e emocionante, transforma a rua em um cenário iluminado e repleto de encanto. 
Em 2025 quem conta essa história são as Guardiãs do Natal.  Elas convidam o público a embarcar nessa aventura até o grande momento do acendimento da Rua de Natal.";Rua Leopoldina de Camargo, 260;true;espetáculo de luzes.jpg;;;;;;;;;;;;;;;;;
19;Espetáculo de Luzes;;2025-12-11;19:00;espetaculodeluzes;"Diariamente a Rua de Natal ganha vida com vida com o Espetáculo de Luzes. A experiência imersiva e emocionante, transforma a rua em um cenário iluminado e repleto de encanto. 
Em 2025 quem conta essa história são as Guardiãs do Natal.  Elas convidam o público a embarcar nessa aventura até o grande momento do acendimento da Rua de Natal.";Rua Leopoldina de Camargo, 260;true;espetáculo de luzes.jpg;;;;;;;;;;;;;;;;;
20;0 (zero);Letícia Rodrigues;2025-12-12;18:00;danca;0 (zero) é uma intervenção artística que mobiliza e molda o ar, tornando-o visível, por meio de um objeto pneumático que convida todos para o flutuar e para mover essa matéria que está entre e em nós.;Rua Leopoldina de Camargo, 260;true;Foto 2_Céditos_wrzaratini - Letícia Rodrigues.jpg;;;;;;;;;;;;;;;;;
21;Paradinha da Rua de Natal;;2025-12-12;18:00;paradinha;Com muita música, brilho e alegria, a Paradinha da Rua de Natal abre o caminho da festa! Este ano, quem conduz o cortejo são as Guardiãs do Natal — Coralina, Bravalina, Risinho e Uny. Juntas, elas lideram o desfile pelas ruas do centro de Itapevi espalhando a magia. Colorida e vibrante, a paradinha tem início na Praça 18 de Fevereiro e convida o público a seguir junto até a Rua de Natal, para a realização do Espetáculo de Luzes. Nesses dias especiais, após o acendimento da rua, as Guardiãs sobem ao palco para a performance  “O Despertar das Guardiãs”.;Praça 18 de Fevereiro;true;paradinha da rua de natal.jpg;;;;;;;;;;;;;;;;;
22;Espetáculo de Luzes;;2025-12-12;19:00;espetaculodeluzes;"Diariamente a Rua de Natal ganha vida com vida com o Espetáculo de Luzes. A experiência imersiva e emocionante, transforma a rua em um cenário iluminado e repleto de encanto. 
Em 2025 quem conta essa história são as Guardiãs do Natal.  Elas convidam o público a embarcar nessa aventura até o grande momento do acendimento da Rua de Natal.";Rua Leopoldina de Camargo, 260;true;espetáculo de luzes.jpg;;;;;;;;;;;;;;;;;
23;Chegada do Papai Noel;;2025-12-12;19:00;papainoel;A Chegada do Papai Noel é o ponto alto das noites da Rua de Natal de Itapevi, e acontece logo após o Espetáculo de Luzes. O bom velhinho surge em meio ao brilho das luzes e à música, saudando o público. Após sua chegada, é oficialmente aberta a Vila do Natal — um espaço especialmente preparado para receber as crianças que desejam tirar fotos, entregar suas cartinhas e viver de perto a magia do Natal.;Rua Leopoldina de Camargo, 260;true;chegada do papai noel.jpg;;;;;;;;;;;;;;;;;
24;Congada de São Benedito de Cotia;;2025-12-12;19:30;musica;A Congada de São Benedito de Cotia é uma manifestação tradicional da cultura afro-brasileira que une fé, música e dança em homenagem a São Benedito. O grupo apresenta cânticos, tambores e coreografias que celebram a ancestralidade e a força da tradição quilombola e congadeira.;Rua Leopoldina de Camargo, 260;true;3a225de8-f910-4524-83a8-a393879ce93a - Japuara Produções.jpg;;;;;;;;;;;;;;;;;
26;Boogie-se;Cia Elektras Boogie;2025-12-13;18:00;danca;Apresentação interativa convida o público a conhecer de perto o universo da dança Popping. Mesclando dinâmicas lúdicas, práticas de dança e apresentação, o grupo passa por estilos como Robot, Wave, Boogaloo e Popping, que são utilizados como ferramentas de dança, diversão e arte.;Rua Leopoldina de Camargo, 260;true;ELEKTRAS_BOOGIE-SE_CRÉDITOS_DIEGO(GROOVE)HENRIQUE (1) - TOOLS Produtora.jpg;;;;;;;;;;;;;;;;;
27;Paradinha da Rua de Natal;;2025-12-13;18:00;paradinha;Com muita música, brilho e alegria, a Paradinha da Rua de Natal abre o caminho da festa! Este ano, quem conduz o cortejo são as Guardiãs do Natal — Coralina, Bravalina, Risinho e Uny. Juntas, elas lideram o desfile pelas ruas do centro de Itapevi espalhando a magia. Colorida e vibrante, a paradinha tem início na Praça 18 de Fevereiro e convida o público a seguir junto até a Rua de Natal, para a realização do Espetáculo de Luzes. Nesses dias especiais, após o acendimento da rua, as Guardiãs sobem ao palco para a performance  “O Despertar das Guardiãs”.;Praça 18 de Fevereiro;true;paradinha da rua de natal.jpg;;;;;;;;;;;;;;;;;
28;Espetáculo de Luzes;;2025-12-13;19:00;espetaculodeluzes;"Diariamente a Rua de Natal ganha vida com vida com o Espetáculo de Luzes. A experiência imersiva e emocionante, transforma a rua em um cenário iluminado e repleto de encanto. 
Em 2025 quem conta essa história são as Guardiãs do Natal.  Elas convidam o público a embarcar nessa aventura até o grande momento do acendimento da Rua de Natal.";Rua Leopoldina de Camargo, 260;true;espetáculo de luzes.jpg;;;;;;;;;;;;;;;;;
29;Chegada do Papai Noel;;2025-12-13;19:00;papainoel;A Chegada do Papai Noel é o ponto alto das noites da Rua de Natal de Itapevi, e acontece logo após o Espetáculo de Luzes. O bom velhinho surge em meio ao brilho das luzes e à música, saudando o público. Após sua chegada, é oficialmente aberta a Vila do Natal — um espaço especialmente preparado para receber as crianças que desejam tirar fotos, entregar suas cartinhas e viver de perto a magia do Natal.;Rua Leopoldina de Camargo, 260;true;chegada do papai noel.jpg;;;;;;;;;;;;;;;;;
